split,benchmark,loop_idx,cells_measured,oracle_best,best_action,best_unmerge,best_factor,beats_noop
train,knn-cuda,4,15,0.190134,unroll_only,0,9,1
train,knn-cuda,7,14,0.198116,unroll_only,0,6,1
train,pad-cuda,0,0,0.0,noop,0,1,0
train,pad-cuda,2,0,0.0,noop,0,1,0
train,particle-diffusion-cuda,0,17,0.15,unroll_only,0,6,1
train,feynman-kac-cuda,0,13,0.15,unroll_only,0,3,1
train,ss-cuda,0,0,0.0,noop,0,1,0
train,ss-cuda,1,0,0.0,noop,0,1,0
train,ss-cuda,2,0,0.0,noop,0,1,0
train,ss-cuda,3,0,0.0,noop,0,1,0
train,scatterAdd-cuda,0,13,0.0,noop,0,1,0
train,scatterAdd-cuda,1,14,0.15,unroll_only,0,2,1
train,scatterAdd-cuda,2,13,0.15,unroll_only,0,3,1
train,scatterAdd-cuda,4,16,0.15,unroll_only,0,2,1
train,scatterAdd-cuda,7,14,0.15,unroll_only,0,5,1
train,minisweep-cuda,8,19,0.15,unroll_only,0,8,1
train,minisweep-cuda,11,18,0.15,unroll_only,0,9,1
train,minisweep-cuda,17,19,0.216477,unmerge,1,1,1
train,bh-cuda,5,13,0.35184,unroll_only,0,10,1
train,bh-cuda,9,15,0.15,unroll_only,0,10,1
train,bh-cuda,10,14,0.15,unroll_only,0,2,1
train,bh-cuda,11,16,0.15,unroll_only,0,4,1
train,bh-cuda,13,16,0.15,unroll_only,0,10,1
train,bh-cuda,14,17,0.277158,unmerge,1,3,1
train,bh-cuda,15,15,0.152464,unmerge,1,8,1
train,bh-cuda,16,16,0.15,unroll_only,0,10,1
train,bh-cuda,17,14,0.04824,unroll_only,0,4,1
train,softmax-fused-cuda,4,16,0.187267,unmerge,1,3,1
train,ldpc-cuda,0,17,0.15,unroll_only,0,9,1
train,ldpc-cuda,1,18,0.085593,unroll_only,0,7,1
train,ldpc-cuda,2,17,0.15,unroll_only,0,2,1
train,ldpc-cuda,3,16,0.052256,unroll_only,0,3,1
train,ldpc-cuda,4,16,0.0,noop,0,1,0
train,crc64-cuda,0,17,0.078017,unmerge,1,6,1
train,crc64-cuda,8,17,0.114425,unmerge,1,4,1
train,rotary-cuda,2,19,0.214611,unmerge,1,1,1
train,tsne-cuda,0,16,0.06572,unmerge,1,2,1
train,tsne-cuda,0,16,0.06572,unmerge,1,2,1
train,tsne-cuda,42,18,0.15,unroll_only,0,4,1
train,tsne-cuda,1,15,0.15,unroll_only,0,6,1
train,bwt-cuda,0,14,0.101936,unmerge,1,2,1
train,s8n-cuda,1,14,0.194146,unmerge,1,1,1
train,s8n-cuda,4,14,0.192503,unroll_only,0,9,1
train,s8n-cuda,6,10,0.176213,unroll_only,0,2,1
train,remap-cuda,0,16,0.15,unroll_only,0,9,1
train,remap-cuda,2,17,0.15,unroll_only,0,8,1
train,remap-cuda,5,18,0.15,unroll_only,0,3,1
train,remap-cuda,11,14,0.0,noop,0,1,0
train,remap-cuda,29,11,0.0,noop,0,1,0
train,remap-cuda,38,12,0.0,noop,0,1,0
train,remap-cuda,68,9,0.15,unroll_only,0,9,1
train,remap-cuda,71,14,0.15,unroll_only,0,6,1
train,remap-cuda,75,13,0.15,unroll_only,0,2,1
train,remap-cuda,76,15,0.15,unroll_only,0,9,1
train,remap-cuda,77,18,0.15,unroll_only,0,9,1
train,remap-cuda,84,16,0.15,unroll_only,0,9,1
train,remap-cuda,85,14,0.0,noop,0,1,0
train,remap-cuda,92,14,0.0,noop,0,1,0
train,remap-cuda,108,17,0.15,unroll_only,0,2,1
train,remap-cuda,129,14,0.0,noop,0,1,0
train,remap-cuda,152,12,0.15,unroll_only,0,10,1
train,remap-cuda,153,18,0.15,unroll_only,0,5,1
train,remap-cuda,159,14,0.15,unroll_only,0,7,1
train,remap-cuda,165,18,0.15,unroll_only,0,2,1
train,remap-cuda,169,18,0.15,unroll_only,0,5,1
train,remap-cuda,172,14,0.0,noop,0,1,0
train,remap-cuda,177,14,0.15,unroll_only,0,8,1
train,remap-cuda,180,10,0.15,unroll_only,0,5,1
train,remap-cuda,182,16,0.15,unroll_only,0,10,1
train,remap-cuda,183,11,0.15,unroll_only,0,6,1
train,remap-cuda,204,18,0.15,unroll_only,0,3,1
train,remap-cuda,216,12,0.15,unroll_only,0,3,1
train,remap-cuda,219,16,0.15,unroll_only,0,8,1
train,remap-cuda,233,17,0.15,unroll_only,0,2,1
train,remap-cuda,244,12,0.15,unroll_only,0,4,1
train,accuracy-cuda,0,18,0.15,unroll_only,0,7,1
train,accuracy-cuda,3,19,0.191626,unmerge,1,1,1
train,bsearch-cuda,0,13,0.182603,unroll_only,0,6,1
train,bsearch-cuda,2,15,0.183901,unroll_only,0,8,1
train,bsearch-cuda,4,16,0.208785,unroll_only,0,9,1
train,heartwall-cuda,0,0,0.0,noop,0,1,0
train,heartwall-cuda,1,0,0.0,noop,0,1,0
train,heartwall-cuda,2,0,0.0,noop,0,1,0
train,heartwall-cuda,6,0,0.0,noop,0,1,0
train,heartwall-cuda,9,0,0.0,noop,0,1,0
train,heartwall-cuda,29,0,0.0,noop,0,1,0
train,heartwall-cuda,40,0,0.0,noop,0,1,0
train,heartwall-cuda,44,0,0.0,noop,0,1,0
train,heartwall-cuda,46,0,0.0,noop,0,1,0
train,heartwall-cuda,47,0,0.0,noop,0,1,0
train,rle-cuda,17,19,0.15,unroll_only,0,8,1
train,rle-cuda,19,16,0.052155,unmerge,1,8,1
train,rle-cuda,20,19,0.15,unroll_only,0,4,1
train,easyWave-cuda,0,19,0.15,unmerge,1,5,1
train,easyWave-cuda,1,18,0.15,unmerge,1,3,1
train,easyWave-cuda,2,19,0.15,unmerge,1,2,1
train,easyWave-cuda,3,19,0.15,unmerge,1,10,1
train,lrn-cuda,6,17,0.15,unroll_only,0,6,1
train,lrn-cuda,9,19,0.190934,unmerge,1,1,1
train,scel-cuda,0,17,0.16905,unmerge,1,7,1
train,multimaterial-cuda,6,17,0.15,unmerge,1,10,1
train,multimaterial-cuda,7,15,0.0,noop,0,1,0
train,multimaterial-cuda,9,17,0.15,unmerge,1,10,1
train,addBiasResidualLayerNorm-cuda,4,19,0.15,unroll_only,0,10,1
train,addBiasResidualLayerNorm-cuda,5,18,0.15,unroll_only,0,7,1
train,addBiasResidualLayerNorm-cuda,6,19,0.15,unroll_only,0,10,1
train,chacha20-cuda,1,15,0.15,unroll_only,0,8,1
train,mask-cuda,0,18,0.183352,unmerge,1,3,1
train,mask-cuda,1,17,0.218945,unmerge,1,4,1
train,mask-cuda,2,17,0.215299,unmerge,1,7,1
train,mask-cuda,3,18,0.216261,unmerge,1,7,1
train,mask-cuda,4,18,0.191859,unmerge,1,2,1
train,mask-cuda,5,18,0.261194,unmerge,1,7,1
train,pnpoly-cuda,0,17,0.2998,unroll_only,0,9,1
train,pnpoly-cuda,1,15,0.200953,unmerge,1,9,1
train,pnpoly-cuda,2,18,0.224978,unmerge,1,7,1
train,pnpoly-cuda,4,18,0.201381,unmerge,1,10,1
train,lebesgue-cuda,0,18,0.072945,unmerge,1,7,1
train,lebesgue-cuda,2,17,0.15,unroll_only,0,8,1
train,voxelization-cuda,0,18,0.239462,unmerge,1,7,1
train,vol2col-cuda,0,13,0.271302,unroll_only,0,2,1
train,vol2col-cuda,4,11,0.308811,unmerge,1,7,1
train,vol2col-cuda,7,13,0.15,unroll_only,0,5,1
train,srad-cuda,0,12,0.15,unmerge,1,8,1
train,qrg-cuda,0,16,0.611112,unroll_only,0,5,1
train,all-pairs-distance-cuda,0,17,0.15,unroll_only,0,10,1
train,all-pairs-distance-cuda,1,17,0.332137,unroll_only,0,8,1
train,all-pairs-distance-cuda,3,18,0.315615,unroll_only,0,10,1
train,overlap-cuda,0,16,0.0,noop,0,1,0
train,hungarian-cuda,2,0,0.0,noop,0,1,0
train,hungarian-cuda,4,0,0.0,noop,0,1,0
train,hungarian-cuda,9,0,0.0,noop,0,1,0
train,ddbp-cuda,0,19,0.189229,unmerge,1,1,1
train,marchingCubes-cuda,0,19,0.15,unroll_only,0,6,1
train,marchingCubes-cuda,5,17,0.15,unroll_only,0,5,1
train,bm3d-cuda,0,0,0.0,noop,0,1,0
train,bm3d-cuda,1,0,0.0,noop,0,1,0
train,bm3d-cuda,2,0,0.0,noop,0,1,0
train,bm3d-cuda,4,0,0.0,noop,0,1,0
train,bm3d-cuda,8,0,0.0,noop,0,1,0
train,bm3d-cuda,9,0,0.0,noop,0,1,0
train,bm3d-cuda,2,0,0.0,noop,0,1,0
train,bm3d-cuda,7,0,0.0,noop,0,1,0
train,sampling-cuda,0,15,0.15,unroll_only,0,2,1
train,sampling-cuda,3,15,0.15,unroll_only,0,9,1
train,sampling-cuda,4,16,0.15,unroll_only,0,3,1
train,hmm-cuda,0,16,0.144531,unroll_only,0,3,1
train,flip-cuda,0,15,0.312872,unroll_only,0,7,1
train,langford-cuda,0,17,0.260532,unmerge,1,3,1
train,nonzero-cuda,24,19,0.15,unroll_only,0,8,1
train,nonzero-cuda,26,17,0.014251,unroll_only,0,8,1
train,nonzero-cuda,35,19,0.15,unroll_only,0,2,1
train,nonzero-cuda,37,18,0.15,unroll_only,0,3,1
train,nonzero-cuda,40,14,0.012518,unmerge,1,4,1
train,nonzero-cuda,45,13,0.0,noop,0,1,0
train,grrt-cuda,2,11,0.15,unroll_only,0,2,1
train,grrt-cuda,3,12,0.188172,unmerge,1,2,1
train,grrt-cuda,4,12,0.189356,unmerge,1,1,1
train,grrt-cuda,6,14,0.157938,unmerge,1,2,1
train,lda-cuda,4,0,0.0,noop,0,1,0
train,radixsort2-cuda,0,18,0.196327,unmerge,1,5,1
train,radixsort2-cuda,5,12,0.200696,unroll_only,0,5,1
train,radixsort2-cuda,23,16,0.199121,unroll_only,0,6,1
train,radixsort2-cuda,32,13,0.200099,unroll_only,0,3,1
train,radixsort2-cuda,63,17,0.19946,unmerge,1,3,1
train,radixsort2-cuda,64,12,0.199875,unroll_only,0,6,1
train,radixsort2-cuda,66,18,0.1929,unmerge,1,4,1
train,radixsort2-cuda,69,19,0.198721,unmerge,1,8,1
train,radixsort2-cuda,70,17,0.196983,unmerge,1,7,1
train,radixsort2-cuda,71,19,0.197308,unmerge,1,2,1
train,radixsort2-cuda,78,19,0.200436,unmerge,1,4,1
train,radixsort2-cuda,79,15,0.200515,unroll_only,0,9,1
train,radixsort2-cuda,82,16,0.19884,unroll_only,0,4,1
train,radixsort2-cuda,108,17,0.199703,unroll_only,0,7,1
train,radixsort2-cuda,125,15,0.197945,unmerge,1,10,1
train,radixsort2-cuda,126,19,0.199427,unmerge,1,9,1
train,radixsort2-cuda,132,14,0.198942,unmerge,1,9,1
train,radixsort2-cuda,138,19,0.197381,unmerge,1,8,1
train,radixsort2-cuda,142,19,0.197754,unmerge,1,9,1
train,radixsort2-cuda,145,16,0.19889,unmerge,1,6,1
train,radixsort2-cuda,150,19,0.190979,unmerge,1,1,1
train,radixsort2-cuda,153,19,0.19949,unmerge,1,5,1
train,radixsort2-cuda,155,19,0.196135,unmerge,1,2,1
train,radixsort2-cuda,156,19,0.199434,unmerge,1,1,1
train,radixsort2-cuda,167,19,0.199633,unmerge,1,4,1
train,radixsort2-cuda,195,19,0.193073,unmerge,1,1,1
train,radixsort2-cuda,243,17,0.199692,unmerge,1,5,1
train,radixsort2-cuda,262,14,0.199876,unmerge,1,2,1
train,radixsort2-cuda,263,10,0.199155,unroll_only,0,9,1
train,radixsort2-cuda,272,17,0.199269,unmerge,1,8,1
train,radixsort2-cuda,273,14,0.19525,unmerge,1,5,1
train,radixsort2-cuda,325,15,0.200529,unroll_only,0,9,1
train,radixsort2-cuda,332,15,0.201347,unmerge,1,1,1
train,radixsort2-cuda,443,15,0.198701,unmerge,1,4,1
train,quantBnB-cuda,3,16,0.233556,unroll_only,0,5,1
train,quantBnB-cuda,4,12,0.23335,unroll_only,0,5,1
train,quantBnB-cuda,5,15,0.233567,unroll_only,0,9,1
train,lci-cuda,0,19,0.15,unroll_only,0,7,1
train,bonds-cuda,3,18,0.299993,unmerge,1,3,1
train,bonds-cuda,7,12,0.15,unroll_only,0,10,1
train,bonds-cuda,8,14,0.15,unroll_only,0,6,1
train,bonds-cuda,9,17,0.437119,unmerge,1,1,1
train,memtest-cuda,0,11,0.0,noop,0,1,0
train,memtest-cuda,1,18,0.15,unmerge,1,10,1
train,memtest-cuda,2,15,0.15,unroll_only,0,5,1
train,memtest-cuda,3,19,0.15,unmerge,1,10,1
train,memtest-cuda,5,19,0.192137,unmerge,1,4,1
train,memtest-cuda,7,19,0.227546,unmerge,1,10,1
train,memtest-cuda,8,19,0.186556,unmerge,1,9,1
train,memtest-cuda,14,19,0.235416,unmerge,1,1,1
train,linearprobing-cuda,0,19,0.15,unroll_only,0,7,1
train,scatterThrust-cuda,1,19,0.15,unroll_only,0,8,1
train,compute-score-cuda,0,17,0.214123,unmerge,1,2,1
train,matrixT-cuda,1,18,0.194823,unmerge,1,2,1
train,pns-cuda,3,16,0.214108,unmerge,1,1,1
train,blockAccess-cuda,3,16,0.210844,unmerge,1,7,1
train,blockAccess-cuda,4,16,0.211481,unmerge,1,1,1
train,moe-cuda,4,14,0.282966,unroll_only,0,4,1
train,segment-reduce-cuda,14,19,0.15,unroll_only,0,3,1
train,segment-reduce-cuda,16,19,0.05294,unroll_only,0,7,1
train,segment-reduce-cuda,24,19,0.15,unroll_only,0,5,1
